Country,Region
Albania,ROW
Algeria,ROW
Andorra,ROW
Angola,ROW
Argentina,ROW
Australia,ROW
Austria,EU
Azerbaijan,ROW
Bahamas,ROW
Bahrain,ROW
Barbados,ROW
Belarus,ROW
Belgium,EU
"Bolivia, Pl.St",ROW
Bosnia & Herzeg,ROW
Botswana,ROW
Brazil,ROW
Brunei Daruss.,ROW
Bulgaria,EU
Burkina Faso,ROW
Cambodia,ROW
Canada,ROW
Canary Islands,ROW
Cape Verde,ROW
Cayman Islands,ROW
Ceuta,ROW
Chile,ROW
Colombia,ROW
Costa Rica,ROW
Croatia,EU
Curaçao,ROW
Cyprus,EU
Czech Republic,EU
Denmark,EU
Dominican Rep.,ROW
Dutch Antilles,ROW
Ecuador,ROW
Egypt,ROW
El Salvador,ROW
Estonia,EU
Finland,EU
France,EU
Frenc.Polynesia,ROW
French Guiana,ROW
Georgia,ROW
Germany,EU
Gibraltar,ROW
Greece,EU
Guadeloupe,ROW
Guatemala,ROW
Guyana,ROW
Holy See,ROW
Honduras,ROW
Hong Kong,ROW
Hungary,EU
Iceland,ROW
India,ROW
Indonesia,ROW
Iraq,ROW
Ireland,EU
Islam Rep. Iran,ROW
Israel,ROW
Italy,EU
Jamaica,ROW
Japan,ROW
Jersey,ROW
Jordan,ROW
Kazakhstan,ROW
Kenya,ROW
"Korea, Rep. Of",ROW
Kosovo,ROW
Kuwait,ROW
Kyrgyzstan,ROW
Latvia,EU
Lebanon,ROW
Libya,ROW
Lithuania,EU
Luxembourg,EU
Malaysia,ROW
Maldives,ROW
Malta,EU
Martinique,ROW
Mauritius,ROW
Mayotte,ROW
Melilla,ROW
Mexico,ROW
Monaco,ROW
Mongolia,ROW
Morocco,ROW
Myanmar,ROW
Namibia,ROW
Nepal,ROW
Netherlands,EU
New Caledonia,ROW
New Zealand,ROW
Nicaragua,ROW
Nigeria,ROW
NorthernIreland,UK
Norway,ROW
Oman,ROW
Pakistan,ROW
Palaest. Author,ROW
Panama,ROW
Peru,ROW
Philippines,ROW
Poland,EU
Portugal,EU
PR of China,China
Qatar,ROW
Réunion,ROW
Romania,EU
Russian Fed.,ROW
San Marino,ROW
Saudi Arabia,ROW
Singapore,ROW
Slovakia,EU
Slovenia,EU
South Africa,ROW
Spain,EU
Sri Lanka,ROW
St. Pierre/Miq.,ROW
Suriname,ROW
Swaziland,ROW
Sweden,EU
Switzerland,ROW
Syrian Arab Rep,ROW
Taiwan,ROW
Thailand,ROW
Trinidad/Tobago,ROW
Tunisia,ROW
Turkey,ROW
Turkmenistan,ROW
Ukraine,ROW
Unit.Arab Emir.,ROW
United Kingdom,UK
Uruguay,ROW
USA,USA
Uzbekistan,ROW
Vietnam,ROW
Wallis/Futuna,ROW
Yemen,ROW
